code,system
FyuD100,readv2
F4A2.00,readv2
F4A2z00,readv2
A776.00,readv2
F4A3000,readv2
F4A..11,readv2
A55x000,readv2
A771.00,readv2
F4A3400,readv2
F4A3300,readv2
F4A2100,readv2
F4A2112,readv2
F4A5z00,readv2
F4A5100,readv2
F4A5.00,readv2
A903.00,readv2
F4A3z00,readv2
F4A3.00,readv2
F4A4000,readv2
F4A2000,readv2
F4A5000,readv2
F4A2400,readv2
F4A2500,readv2
F4A2200,readv2
F4Az.00,readv2
A984300,readv2
F4A2300,readv2
F4A5400,readv2
AD67000,readv2
F4A..00,readv2
F4A5200,readv2
F4A5500,readv2
20491.0,readv2
39445.0,readv2
6749.0,readv2
53785.0,readv2
27546.0,readv2
56042.0,readv2
30358.0,readv2
10408.0,readv2
90575.0,readv2
94249.0,readv2
1082.0,readv2
72172.0,readv2
15686.0,readv2
35865.0,readv2
44620.0,readv2
48197.0,readv2
5176.0,readv2
55629.0,readv2
45610.0,readv2
24948.0,readv2
27900.0,readv2
72913.0,readv2
12131.0,readv2
94899.0,readv2
20305.0,readv2
27749.0,readv2
9279.0,readv2
40792.0,readv2
50273.0,readv2
35193.0,readv2
72393.0,readv2
49802.0,readv2
16413.0,readv2
27797.0,readv2
44027.0,readv2
107617.0,readv2
11319.0,readv2
27545.0,readv2
101578.0,readv2
29763.0,readv2
45168.0,readv2
3581.0,readv2
7287.0,readv2
515.0,readv2
H16,readv2
A173200,readv2
A173400,readv2
F4Ay.00,readv2
F4A4z00,readv2
F4A4.00,readv2
FyuDA00,readv2
F4A4100,readv2
FyuD200,readv2
F4A1.00,readv2
A544300,readv2
A544200,readv2
A532100,readv2
H19.1,readv2
H19.3,readv2
H19.2,readv2